fecha,mes,anio,linea,tipo_pago,afluencia
2022-01-13,Enero,2022,Línea 6,Prepago,0
2022-01-13,Enero,2022,Línea 6,Gratuidad,1301
2022-01-13,Enero,2022,Línea 7,Boleto,16371
2022-01-13,Enero,2022,Línea 7,Prepago,1909
2022-01-13,Enero,2022,Línea 7,Gratuidad,4892
2022-01-13,Enero,2022,Línea 8,Boleto,0
2022-01-13,Enero,2022,Línea 8,Prepago,0
2022-01-13,Enero,2022,Línea 8,Gratuidad,0
2022-01-13,Enero,2022,Línea 9,Boleto,3612
2022-01-13,Enero,2022,Línea 9,Prepago,1661
2022-01-13,Enero,2022,Línea 9,Gratuidad,3061
2022-01-13,Enero,2022,Línea 10 (Trolebús elevado),Boleto,0
2022-01-13,Enero,2022,Línea 10 (Trolebús elevado),Prepago,0
2022-01-13,Enero,2022,Línea 10 (Trolebús elevado),Gratuidad,0
2022-01-14,Enero,2022,Línea 1,Boleto,33272
2022-01-14,Enero,2022,Línea 1,Prepago,15101
2022-01-14,Enero,2022,Línea 1,Gratuidad,20134
2022-01-14,Enero,2022,Línea 1 Nochebús,Boleto,437
2022-01-14,Enero,2022,Línea 1 Nochebús,Prepago,170
2022-01-14,Enero,2022,Línea 1 Nochebús,Gratuidad,0
2022-01-14,Enero,2022,Línea 2,Boleto,9507
2022-01-14,Enero,2022,Línea 2,Prepago,3728
2022-01-14,Enero,2022,Línea 2,Gratuidad,6303
2022-01-14,Enero,2022,Línea 3,Boleto,5870
2022-01-14,Enero,2022,Línea 3,Prepago,3059
2022-01-14,Enero,2022,Línea 3,Gratuidad,4620
2022-01-14,Enero,2022,Línea 4,Boleto,8175
2022-01-14,Enero,2022,Línea 4,Prepago,0
2022-01-14,Enero,2022,Línea 4,Gratuidad,2868
2022-01-14,Enero,2022,Línea 5,Boleto,4221
2022-01-14,Enero,2022,Línea 5,Prepago,0
2022-01-14,Enero,2022,Línea 5,Gratuidad,1528
2022-01-14,Enero,2022,Línea 6,Boleto,3771
2022-01-14,Enero,2022,Línea 6,Prepago,0
2022-01-14,Enero,2022,Línea 6,Gratuidad,1198
2022-01-14,Enero,2022,Línea 7,Boleto,18154
2022-01-14,Enero,2022,Línea 7,Prepago,1971
2022-01-14,Enero,2022,Línea 7,Gratuidad,5385
2022-01-14,Enero,2022,Línea 8,Boleto,0
2022-01-14,Enero,2022,Línea 8,Prepago,0
2022-01-14,Enero,2022,Línea 8,Gratuidad,0
2022-01-14,Enero,2022,Línea 9,Boleto,3712
2022-01-14,Enero,2022,Línea 9,Prepago,1689
2022-01-14,Enero,2022,Línea 9,Gratuidad,3135
2022-01-14,Enero,2022,Línea 10 (Trolebús elevado),Boleto,0
2022-01-14,Enero,2022,Línea 10 (Trolebús elevado),Prepago,0
2022-01-14,Enero,2022,Línea 10 (Trolebús elevado),Gratuidad,0
2022-01-15,Enero,2022,Línea 1,Boleto,22584
2022-01-15,Enero,2022,Línea 1,Prepago,11979
2022-01-15,Enero,2022,Línea 1,Gratuidad,14386
