fecha,mes,anio,linea,tipo_pago,afluencia
2022-03-26,Marzo,2022,Línea 1,Prepago,39579
2022-03-26,Marzo,2022,Línea 1,Gratuidad,3616
2022-03-26,Marzo,2022,Línea 2,Prepago,62315
2022-03-26,Marzo,2022,Línea 2,Gratuidad,7003
2022-03-27,Marzo,2022,Línea 1,Prepago,30553
2022-03-27,Marzo,2022,Línea 1,Gratuidad,3212
2022-03-27,Marzo,2022,Línea 2,Prepago,46318
2022-03-27,Marzo,2022,Línea 2,Gratuidad,5328
2022-03-28,Marzo,2022,Línea 1,Prepago,43655
2022-03-28,Marzo,2022,Línea 1,Gratuidad,4496
2022-03-28,Marzo,2022,Línea 2,Prepago,63086
2022-03-28,Marzo,2022,Línea 2,Gratuidad,8196
2022-03-29,Marzo,2022,Línea 1,Prepago,43710
2022-03-29,Marzo,2022,Línea 1,Gratuidad,4306
2022-03-29,Marzo,2022,Línea 2,Prepago,63295
2022-03-29,Marzo,2022,Línea 2,Gratuidad,8151
2022-03-30,Marzo,2022,Línea 1,Prepago,44843
2022-03-30,Marzo,2022,Línea 1,Gratuidad,4462
2022-03-30,Marzo,2022,Línea 2,Prepago,64678
2022-03-30,Marzo,2022,Línea 2,Gratuidad,8233
2022-03-31,Marzo,2022,Línea 1,Prepago,43868
2022-03-31,Marzo,2022,Línea 1,Gratuidad,4591
2022-03-31,Marzo,2022,Línea 2,Prepago,64604
2022-03-31,Marzo,2022,Línea 2,Gratuidad,8062
2022-04-01,Abril,2022,Línea 1,Prepago,45601
2022-04-01,Abril,2022,Línea 1,Gratuidad,4492
2022-04-01,Abril,2022,Línea 2,Prepago,67331
2022-04-01,Abril,2022,Línea 2,Gratuidad,8014
2022-04-02,Abril,2022,Línea 1,Prepago,38985
2022-04-02,Abril,2022,Línea 1,Gratuidad,3943
2022-04-02,Abril,2022,Línea 2,Prepago,62617
2022-04-02,Abril,2022,Línea 2,Gratuidad,7055
2022-04-03,Abril,2022,Línea 1,Prepago,29359
2022-04-03,Abril,2022,Línea 1,Gratuidad,3061
2022-04-03,Abril,2022,Línea 2,Prepago,46336
2022-04-03,Abril,2022,Línea 2,Gratuidad,5307
2022-04-04,Abril,2022,Línea 1,Prepago,43630
2022-04-04,Abril,2022,Línea 1,Gratuidad,4436
2022-04-04,Abril,2022,Línea 2,Prepago,63375
2022-04-04,Abril,2022,Línea 2,Gratuidad,8320
2022-04-05,Abril,2022,Línea 1,Prepago,43803
2022-04-05,Abril,2022,Línea 1,Gratuidad,4336
2022-04-05,Abril,2022,Línea 2,Prepago,64621
2022-04-05,Abril,2022,Línea 2,Gratuidad,7720
2022-04-06,Abril,2022,Línea 1,Prepago,45094
2022-04-06,Abril,2022,Línea 1,Gratuidad,4095
2022-04-06,Abril,2022,Línea 2,Prepago,64670
2022-04-06,Abril,2022,Línea 2,Gratuidad,7967
2022-04-07,Abril,2022,Línea 1,Prepago,43908
2022-04-07,Abril,2022,Línea 1,Gratuidad,4558
2022-04-07,Abril,2022,Línea 2,Prepago,63532
2022-04-07,Abril,2022,Línea 2,Gratuidad,7997
2022-04-08,Abril,2022,Línea 1,Prepago,43950
2022-04-08,Abril,2022,Línea 1,Gratuidad,4147
2022-04-08,Abril,2022,Línea 2,Prepago,65376
2022-04-08,Abril,2022,Línea 2,Gratuidad,7873
2022-04-09,Abril,2022,Línea 1,Prepago,36549
2022-04-09,Abril,2022,Línea 1,Gratuidad,3750
2022-04-09,Abril,2022,Línea 2,Prepago,60324
2022-04-09,Abril,2022,Línea 2,Gratuidad,6530
2022-04-10,Abril,2022,Línea 1,Prepago,28923
2022-04-10,Abril,2022,Línea 1,Gratuidad,3181
2022-04-10,Abril,2022,Línea 2,Prepago,46396
2022-04-10,Abril,2022,Línea 2,Gratuidad,5969
2022-04-11,Abril,2022,Línea 1,Prepago,37774
2022-04-11,Abril,2022,Línea 1,Gratuidad,4589
2022-04-11,Abril,2022,Línea 2,Prepago,56791
2022-04-11,Abril,2022,Línea 2,Gratuidad,7965
2022-04-12,Abril,2022,Línea 1,Prepago,38713
2022-04-12,Abril,2022,Línea 1,Gratuidad,3977
2022-04-12,Abril,2022,Línea 2,Prepago,57175
2022-04-12,Abril,2022,Línea 2,Gratuidad,7787
2022-04-13,Abril,2022,Línea 1,Prepago,39014
2022-04-13,Abril,2022,Línea 1,Gratuidad,4408
2022-04-13,Abril,2022,Línea 2,Prepago,59772
2022-04-13,Abril,2022,Línea 2,Gratuidad,7281
2022-04-14,Abril,2022,Línea 1,Prepago,32061
2022-04-14,Abril,2022,Línea 1,Gratuidad,3438
2022-04-14,Abril,2022,Línea 2,Prepago,52422
2022-04-14,Abril,2022,Línea 2,Gratuidad,6691
2022-04-15,Abril,2022,Línea 1,Prepago,26385
2022-04-15,Abril,2022,Línea 1,Gratuidad,2993
2022-04-15,Abril,2022,Línea 2,Prepago,48327
2022-04-15,Abril,2022,Línea 2,Gratuidad,5108
2022-04-16,Abril,2022,Línea 1,Prepago,29496
2022-04-16,Abril,2022,Línea 1,Gratuidad,3058
2022-04-16,Abril,2022,Línea 2,Prepago,47812
2022-04-16,Abril,2022,Línea 2,Gratuidad,5949
2022-04-17,Abril,2022,Línea 1,Prepago,27091
2022-04-17,Abril,2022,Línea 1,Gratuidad,3210
2022-04-17,Abril,2022,Línea 2,Prepago,41830
2022-04-17,Abril,2022,Línea 2,Gratuidad,4954
2022-04-18,Abril,2022,Línea 1,Prepago,34788
2022-04-18,Abril,2022,Línea 1,Gratuidad,4108
2022-04-18,Abril,2022,Línea 2,Prepago,57341
2022-04-18,Abril,2022,Línea 2,Gratuidad,7576
2022-04-19,Abril,2022,Línea 1,Prepago,35822
2022-04-19,Abril,2022,Línea 1,Gratuidad,4599
2022-04-19,Abril,2022,Línea 2,Prepago,58681
2022-04-19,Abril,2022,Línea 2,Gratuidad,7265
2022-04-20,Abril,2022,Línea 1,Prepago,36191
