fecha,mes,anio,servicio,tipo_pago,afluencia
2025-09-02,Septiembre,2025,ATENEA,Gratuidad,4940
2025-09-02,Septiembre,2025,ECOBUS,Boleto,0
2025-09-02,Septiembre,2025,ECOBUS,Prepago,42625
2025-09-02,Septiembre,2025,ECOBUS,Gratuidad,10560
2025-09-02,Septiembre,2025,EXPDIRECTO,Boleto,0
2025-09-02,Septiembre,2025,EXPDIRECTO,Prepago,4176
2025-09-02,Septiembre,2025,EXPDIRECTO,Gratuidad,1032
2025-09-02,Septiembre,2025,EXPRESO,Boleto,0
2025-09-02,Septiembre,2025,EXPRESO,Prepago,107397
2025-09-02,Septiembre,2025,EXPRESO,Gratuidad,26933
2025-09-02,Septiembre,2025,NOCHEBUS,Boleto,0
2025-09-02,Septiembre,2025,NOCHEBUS,Prepago,410
2025-09-02,Septiembre,2025,NOCHEBUS,Gratuidad,35
2025-09-02,Septiembre,2025,ORDINARIO,Boleto,0
2025-09-02,Septiembre,2025,ORDINARIO,Prepago,60223
2025-09-02,Septiembre,2025,ORDINARIO,Gratuidad,15044
2025-09-02,Septiembre,2025,S/METRO,Boleto,3790
2025-09-02,Septiembre,2025,S/METRO,Prepago,13781
2025-09-02,Septiembre,2025,S/METRO,Gratuidad,4349
2025-09-02,Septiembre,2025,SERVICIOS TEMPORALES,Boleto,0
2025-09-02,Septiembre,2025,SERVICIOS TEMPORALES,Prepago,1609
2025-09-02,Septiembre,2025,SERVICIOS TEMPORALES,Gratuidad,400
2025-09-03,Septiembre,2025,ATENEA,Boleto,0
2025-09-03,Septiembre,2025,ATENEA,Prepago,24959
2025-09-03,Septiembre,2025,ATENEA,Gratuidad,6257
2025-09-03,Septiembre,2025,ECOBUS,Boleto,0
2025-09-03,Septiembre,2025,ECOBUS,Prepago,43070
2025-09-03,Septiembre,2025,ECOBUS,Gratuidad,10671
2025-09-03,Septiembre,2025,EXPDIRECTO,Boleto,0
2025-09-03,Septiembre,2025,EXPDIRECTO,Prepago,4585
2025-09-03,Septiembre,2025,EXPDIRECTO,Gratuidad,1134
2025-09-03,Septiembre,2025,EXPRESO,Boleto,0
2025-09-03,Septiembre,2025,EXPRESO,Prepago,113260
2025-09-03,Septiembre,2025,EXPRESO,Gratuidad,28406
2025-09-03,Septiembre,2025,NOCHEBUS,Boleto,0
2025-09-03,Septiembre,2025,NOCHEBUS,Prepago,331
2025-09-03,Septiembre,2025,NOCHEBUS,Gratuidad,27
2025-09-03,Septiembre,2025,ORDINARIO,Boleto,0
2025-09-03,Septiembre,2025,ORDINARIO,Prepago,58001
2025-09-03,Septiembre,2025,ORDINARIO,Gratuidad,14569
2025-09-03,Septiembre,2025,S/METRO,Boleto,3175
2025-09-03,Septiembre,2025,S/METRO,Prepago,13148
2025-09-03,Septiembre,2025,S/METRO,Gratuidad,4015
2025-09-03,Septiembre,2025,SERVICIOS TEMPORALES,Boleto,0
2025-09-03,Septiembre,2025,SERVICIOS TEMPORALES,Prepago,1449
2025-09-03,Septiembre,2025,SERVICIOS TEMPORALES,Gratuidad,362
2025-09-04,Septiembre,2025,ATENEA,Boleto,0
2025-09-04,Septiembre,2025,ATENEA,Prepago,22630
2025-09-04,Septiembre,2025,ATENEA,Gratuidad,5685
2025-09-04,Septiembre,2025,ECOBUS,Boleto,0
2025-09-04,Septiembre,2025,ECOBUS,Prepago,42458
2025-09-04,Septiembre,2025,ECOBUS,Gratuidad,10517
2025-09-04,Septiembre,2025,EXPDIRECTO,Boleto,0
2025-09-04,Septiembre,2025,EXPDIRECTO,Prepago,4328
2025-09-04,Septiembre,2025,EXPDIRECTO,Gratuidad,1068
2025-09-04,Septiembre,2025,EXPRESO,Boleto,0
2025-09-04,Septiembre,2025,EXPRESO,Prepago,114603
2025-09-04,Septiembre,2025,EXPRESO,Gratuidad,28742
